strength,size,separation,noisefrac,mn_sag,mn_sgd,mn_pcpt,mn_passAgr,md_sag,md_sgd,md_pcpt,md_passAgr,var_sag,var_sgd,var_pcpt,var_passAgr
300,100,0.4,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.65,1,0.998333333333,1,1,1,1,1,1,0,2.5E-05,0,0
300,100,0.4,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.8,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.4,0.85,0.993333333333,1,1,1,1,1,1,1,0.000122222222222,0,0,0
300,100,0.4,0.9,0.991666666667,1,1,1,0.991666666667,1,1,1,6.94444444444E-05,0,0,0
300,100,0.41,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.3,1,1,0.998333333333,1,1,1,1,1,0,0,2.5E-05,0
300,100,0.41,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.4,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.41,0.45,1,1,0.998333333333,0.998333333333,1,1,1,1,0,0,2.5E-05,2.5E-05
300,100,0.41,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.55,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.41,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.41,0.8,0.991666666667,1,1,1,1,1,1,1,0.000125,0,0,0
300,100,0.41,0.85,0.925,1,1,1,0.933333333333,1,1,1,0.00290277777778,0,0,0
300,100,0.41,0.9,0.715,0.986666666667,0.986666666667,0.988333333333,0.733333333333,0.991666666667,0.983333333333,0.991666666667,0.00674722222222,0.000211111111111,0.0001,0.000169444444444
300,100,0.42,0,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.42,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.42,0.1,1,1,0.998333333333,1,1,1,1,1,0,0,2.5E-05,0
300,100,0.42,0.15,1,1,1,1,1,1,1,1,0,0,0,0
